日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/06/18,"1,198,962","50,733,111",42.35,42.40,42.20,42.30, 0.00,834
109/06/19,"2,876,222","122,643,146",42.30,42.85,42.30,42.85,+0.55,"1,109"
109/06/22,"1,695,037","72,725,910",42.80,43.10,42.75,42.80,-0.05,"1,003"
109/06/23,"1,398,829","59,606,833",42.80,42.90,42.35,42.55,-0.25,823
109/06/24,"1,054,893","45,030,706",42.85,42.85,42.60,42.65,+0.10,657
109/06/29,"1,631,905","69,439,169",42.50,42.70,42.40,42.50,-0.15,899
109/06/30,"1,346,062","57,434,888",42.90,42.90,42.50,42.50, 0.00,739
109/07/01,"1,640,047","70,111,273",42.55,42.95,42.55,42.75,+0.25,859
109/07/02,"2,551,925","109,498,325",42.90,43.00,42.75,42.90,+0.15,"1,213"
109/07/03,"2,772,406","119,869,192",43.00,43.50,43.00,43.45,+0.55,"1,488"
109/07/06,"4,205,290","184,931,310",43.65,44.30,43.65,43.95,+0.50,"2,367"
109/07/07,"2,598,396","113,732,208",44.20,44.20,43.45,43.75,-0.20,"1,489"
109/07/08,"1,562,714","68,377,536",43.75,43.90,43.55,43.80,+0.05,985
109/07/09,"2,012,018","87,987,700",43.85,43.95,43.60,43.60,-0.20,"1,357"
109/07/10,"2,500,746","107,752,952",43.60,43.60,42.90,43.05,-0.55,"1,529"
109/07/13,"3,206,862","140,677,260",43.60,44.30,43.60,43.95,+0.90,"1,781"
109/07/14,"1,785,717","78,480,371",44.10,44.20,43.85,43.95, 0.00,"1,045"
109/07/15,"2,820,062","124,427,780",44.05,44.30,43.90,44.15,+0.20,"1,513"
109/07/16,"4,091,466","183,400,420",44.30,45.50,44.25,45.00,+0.85,"2,139"
109/07/17,"3,002,047","135,185,465",45.20,45.35,44.80,45.00, 0.00,"1,677"
109/07/20,"2,102,610","94,339,000",45.00,45.00,44.60,44.95,-0.05,"1,068"
109/07/21,"5,127,845","233,272,616",45.00,45.80,44.90,45.65,+0.70,"2,499"
109/07/22,"2,537,532","116,116,580",45.95,45.95,45.65,45.80,+0.15,"1,423"
109/07/23,"2,010,436","92,061,683",45.80,45.95,45.70,45.80, 0.00,"1,043"
109/07/24,"3,209,133","145,777,210",45.80,45.80,44.95,45.30,-0.50,"1,639"
109/07/27,"2,972,080","133,331,892",45.30,45.40,44.65,44.70,-0.60,"1,785"
109/07/28,"2,439,894","109,113,316",44.70,45.00,44.55,44.70, 0.00,"1,452"
109/07/29,"3,341,141","151,782,408",44.70,45.75,44.65,45.25,+0.55,"1,696"
109/07/30,"3,499,957","160,429,058",45.50,46.10,45.45,46.05,+0.80,"1,832"
109/07/31,"5,972,515","280,079,793",46.10,47.30,46.05,46.90,+0.85,"3,140"
109/08/03,"3,419,722","160,916,860",47.30,47.40,46.70,47.25,+0.35,"1,969"
109/08/04,"3,049,245","144,098,281",47.50,47.50,47.05,47.20,-0.05,"1,404"
109/08/05,"3,011,932","141,808,112",47.20,47.25,46.90,47.15,-0.05,"1,482"
109/08/06,"2,460,749","116,135,841",47.20,47.40,47.05,47.20,+0.05,"1,244"
109/08/07,"2,818,240","132,927,159",47.30,47.40,47.00,47.10,-0.10,"1,458"
109/08/10,"5,356,761","252,345,267",47.15,47.20,47.00,47.20,+0.10,"2,568"
109/08/11,"6,763,995","318,965,744",47.20,47.25,47.05,47.15,-0.05,"3,256"
109/08/12,"11,782,253","481,707,120",39.70,42.15,39.65,41.15,X0.00,"7,036"
109/08/13,"3,902,801","162,281,634",41.30,41.90,41.30,41.80,+0.65,"2,487"
109/08/14,"2,324,693","97,053,922",42.00,42.05,41.55,41.85,+0.05,"1,471"
109/08/17,"4,090,721","176,171,779",41.90,43.80,41.90,43.40,+1.55,"2,318"
109/08/18,"2,611,742","112,924,098",43.80,43.85,43.00,43.40, 0.00,"1,583"
109/08/19,"2,844,812","122,891,303",43.65,43.75,42.90,43.00,-0.40,"1,601"
109/08/20,"5,964,024","250,786,958",42.90,42.90,41.05,42.10,-0.90,"3,473"
109/08/21,"3,266,707","140,340,991",42.80,43.35,42.30,43.15,+1.05,"2,215"
109/08/24,"2,718,952","118,078,978",43.50,43.75,43.20,43.50,+0.35,"1,579"
109/08/25,"1,735,606","75,193,541",43.60,43.65,43.05,43.40,-0.10,"1,056"
109/08/26,"1,271,798","54,866,350",43.45,43.45,43.05,43.30,-0.10,841
109/08/27,"1,685,171","72,503,018",43.55,43.55,42.80,43.00,-0.30,"1,081"
109/08/28,"1,295,852","55,522,186",43.00,43.15,42.70,42.80,-0.20,862
109/08/31,"3,784,072","160,271,744",43.20,43.20,42.05,42.05,-0.75,"2,160"
109/09/01,"2,009,786","85,131,342",42.15,42.80,42.15,42.30,+0.25,924
109/09/02,"1,258,298","53,181,073",42.45,42.45,42.15,42.45,+0.15,880
109/09/03,"1,555,500","65,786,670",42.70,42.75,42.15,42.15,-0.30,"1,081"
109/09/04,"1,982,183","83,151,243",41.85,42.35,41.50,42.00,-0.15,"1,303"
109/09/07,"1,624,084","67,729,737",42.00,42.00,41.50,41.65,-0.35,"1,196"
109/09/08,"1,210,728","50,477,608",42.00,42.00,41.60,41.70,+0.05,850
109/09/09,"2,233,090","92,123,773",41.50,41.50,41.05,41.35,-0.35,"2,235"
109/09/10,"1,589,917","65,593,662",41.50,41.55,41.15,41.30,-0.05,"1,625"
109/09/11,"3,705,519","151,053,166",41.15,41.15,40.60,40.65,-0.65,"3,019"
109/09/14,"2,899,637","117,037,019",40.65,40.65,40.20,40.45,-0.20,"2,164"
109/09/15,"2,059,763","84,096,791",40.50,41.10,40.50,40.80,+0.35,"1,508"
109/09/16,"1,897,045","78,126,323",41.05,41.70,40.85,41.55,+0.75,"1,564"
109/09/17,"1,881,506","77,517,758",41.90,41.90,40.90,40.95,-0.60,"1,298"
109/09/18,"2,179,953","89,081,223",41.00,41.10,40.80,40.80,-0.15,"1,314"
109/09/21,"1,129,498","45,994,071",40.80,41.00,40.60,40.60,-0.20,886
109/09/22,"1,789,371","71,911,343",40.50,40.55,40.00,40.20,-0.40,"1,399"
109/09/23,"1,834,986","73,472,317",40.30,40.40,39.90,40.05,-0.15,"1,477"
109/09/24,"3,451,806","136,329,156",39.90,39.90,39.25,39.25,-0.80,"2,584"
109/09/25,"2,153,068","84,796,900",39.25,39.80,39.10,39.40,+0.15,"1,607"
109/09/28,"1,570,608","62,582,420",39.80,40.20,39.50,39.95,+0.55,"1,117"
109/09/29,"1,148,594","45,814,860",40.00,40.15,39.70,39.90,-0.05,632
109/09/30,"950,583","37,876,370",39.90,40.00,39.70,39.80,-0.10,622
109/10/05,"855,347","33,966,511",39.80,40.00,39.60,39.65,-0.15,680
109/10/06,"1,524,725","61,417,632",40.00,40.60,39.85,40.45,+0.80,"1,182"
109/10/07,"1,004,533","40,311,207",40.45,40.45,40.00,40.20,-0.25,744
109/10/08,"864,041","34,663,551",40.20,40.30,40.00,40.20, 0.00,737
109/10/12,"2,098,455","84,229,906",40.30,40.40,39.90,40.30,+0.10,"1,338"
109/10/13,"855,290","34,192,348",40.20,40.20,39.90,40.10,-0.20,729
109/10/14,"1,395,201","55,735,390",40.00,40.10,39.90,39.95,-0.15,862
109/10/15,"885,812","35,277,677",39.95,39.95,39.75,39.85,-0.10,787
109/10/16,"1,079,614","43,090,112",39.90,40.00,39.75,39.80,-0.05,825
109/10/19,"1,251,158","49,767,144",39.90,39.90,39.70,39.85,+0.05,"1,047"
